=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | project-1785599961794-still-03.png -> project-1785599961794-still-03.webp | 3598x2024 -> 2800x1575 | 2863KB -> 195KB | match=exact-relative
OK | childlike-still-02.png -> childlike-still-02.webp | 1800x1013 -> 1800x1013 | 1256KB -> 161KB | match=exact-relative
OK | muchae-still-01.png -> muchae-still-01.webp | 3600x2018 -> 2800x1570 | 3740KB -> 139KB | match=exact-relative
OK | muchae-still-14.png -> muchae-still-14.webp | 3600x2018 -> 2800x1570 | 5866KB -> 223KB | match=exact-relative
OK | the-rascals-still-03.png -> the-rascals-still-03.webp | 3600x2018 -> 2800x1570 | 7016KB -> 308KB | match=exact-relative
OK | project-1785599961794-hero.png -> project-1785599961794-hero.webp | 3598x1622 -> 2800x1262 | 2740KB -> 188KB | match=exact-relative
OK | we-gobi-still-08.png -> we-gobi-still-08.webp | 3600x2018 -> 2800x1570 | 4276KB -> 149KB | match=exact-relative
OK | nonol-live-still-04.jpg -> nonol-live-still-04.webp | 1280x720 -> 1280x720 | 83KB -> 93KB | match=exact-relative
OK | the-rascals-still-01.png -> the-rascals-still-01.webp | 3600x2018 -> 2800x1570 | 1133KB -> 112KB | match=exact-relative
OK | muchae-still-02.png -> muchae-still-02.webp | 3600x2018 -> 2800x1570 | 5077KB -> 210KB | match=exact-relative
OK | childlike-still-01.png -> childlike-still-01.webp | 3600x2025 -> 2800x1575 | 4217KB -> 308KB | match=exact-relative
OK | 2024-인천광역시-이장-통장-소양교육-still-01.webp -> 2024-inceongwangyeogsi-ijang-tongjang-soyanggyoyug-still-01.webp | 900x325 -> 900x325 | 169KB -> 182KB | match=exact-relative
OK | muchae-still-16.png -> muchae-still-16.webp | 3600x2018 -> 2800x1570 | 6631KB -> 219KB | match=exact-relative
OK | project-1785599961794-still-01.png -> project-1785599961794-still-01.webp | 3598x2024 -> 2800x1575 | 2836KB -> 193KB | match=exact-relative
OK | muchae-still-17.png -> muchae-still-17.webp | 3600x2018 -> 2800x1570 | 6753KB -> 238KB | match=exact-relative
OK | muchae-still-03.png -> muchae-still-03.webp | 3600x2018 -> 2800x1570 | 5427KB -> 180KB | match=exact-relative
OK | childlike-hero.png -> childlike-hero.webp | 1800x1013 -> 1800x1013 | 1256KB -> 161KB | match=exact-relative
OK | we-gobi-still-09.png -> we-gobi-still-09.webp | 3600x2018 -> 2800x1570 | 5832KB -> 268KB | match=exact-relative
OK | daisy-still-02.png -> daisy-still-02.webp | 3840x1635 -> 2800x1192 | 3294KB -> 195KB | match=exact-relative
OK | romance-literacy-still-06.png -> romance-literacy-still-06.webp | 3600x2014 -> 2800x1566 | 6625KB -> 251KB | match=exact-relative
OK | sara-still-01.png -> sara-still-01.webp | 3600x1676 -> 2800x1304 | 3864KB -> 150KB | match=exact-relative
OK | sara-still-15.png -> sara-still-15.webp | 3600x1676 -> 2800x1304 | 7776KB -> 423KB | match=exact-relative
OK | alien-still-16.png -> alien-still-16.webp | 3600x1532 -> 2800x1192 | 6307KB -> 237KB | match=exact-relative
OK | alien-still-02.png -> alien-still-02.webp | 3600x1532 -> 2800x1192 | 4197KB -> 145KB | match=exact-relative
OK | gang-still-02.jpg -> gang-still-02.webp | 3840x2160 -> 2800x1575 | 1842KB -> 99KB | match=exact-relative
OK | gang-still-16.jpg -> gang-still-16.webp | 3840x2160 -> 2800x1575 | 3035KB -> 356KB | match=exact-relative
OK | whale-still-14.png -> whale-still-14.webp | 3600x1532 -> 2800x1192 | 3534KB -> 151KB | match=exact-relative
OK | rang-still-03.png -> rang-still-03.webp | 3600x1536 -> 2800x1195 | 3295KB -> 138KB | match=exact-relative
OK | buriburi-still-14.png -> buriburi-still-14.webp | 1920x1080 -> 1920x1080 | 6086KB -> 533KB | match=exact-relative
OK | buriburi-still-01.png -> buriburi-still-01.webp | 1920x1080 -> 1920x1080 | 6086KB -> 310KB | match=exact-relative
OK | rang-still-02.png -> rang-still-02.webp | 3600x1536 -> 2800x1195 | 7675KB -> 361KB | match=exact-relative
OK | buriburi-still-15.png -> buriburi-still-15.webp | 1920x1080 -> 1920x1080 | 6086KB -> 280KB | match=exact-relative
OK | whale-still-01.png -> whale-still-01.webp | 3600x1532 -> 2800x1192 | 4403KB -> 190KB | match=exact-relative
OK | gang-still-17.jpg -> gang-still-17.webp | 3840x2160 -> 2800x1575 | 2883KB -> 298KB | match=exact-relative
OK | gang-still-03.jpg -> gang-still-03.webp | 3840x2160 -> 2800x1575 | 1428KB -> 74KB | match=exact-relative
OK | alien-still-03.png -> alien-still-03.webp | 3600x1532 -> 2800x1192 | 4587KB -> 170KB | match=exact-relative
OK | alien-still-17.png -> alien-still-17.webp | 3600x1532 -> 2800x1192 | 6211KB -> 275KB | match=exact-relative
OK | sara-still-14.png -> sara-still-14.webp | 3600x1676 -> 2800x1304 | 5359KB -> 235KB | match=exact-relative
OK | romance-literacy-still-07.png -> romance-literacy-still-07.webp | 3600x2014 -> 2800x1566 | 9777KB -> 622KB | match=exact-relative
